item_id;vectors
492;-0.398054|0.5277562|0.84059995|-0.06884268|-0.5565248|0.91642696|-0.6893889|0.5313601|0.028471947|-0.9905359|0.36151877|0.48095775|-0.15013494|0.11335081|-0.23026793|-0.5931826|0.33359545|-0.05591175|0.40947106|-0.13448519|-0.1925685|0.24738327|-0.35491183|-0.11363545|0.139088|0.11644435|0.71184313|-0.812695|-0.96747816|0.45484036|-0.42796332|-0.28068316|0.8263798|0.5558837|0.1745618|0.18724515|0.38830936|-0.88127077|0.46306482|0.2324234|0.25297225|0.12119844|0.08844493|-0.08935646|-0.26070642|-0.40880853|0.46609676|0.113488644|-0.6684558|-0.79811513|-0.70170754|0.44092852|-0.25804242|-0.03551317|-0.2610787|-0.05984798|-0.093351394|-0.1286421|-0.4878279|0.32860774|0.25909263|0.12311338|0.3178525|-0.2118403|0.2503279|-0.41118005|0.48418072|0.04963082|0.41097134|0.45999962|-0.22108592|0.37556517|0.18912981|0.86852735|-0.64903724|0.49960873|-0.73781663|0.37194514|-0.4578363|-0.022893485|0.2809817|-0.5138507|0.32267135|0.016705096|-0.20696011|0.23517859|-0.02120386|-0.06711954|0.10264076|0.024533972|0.21268097|0.6078213|0.20729932|-0.30179146|0.21357593|-0.17482516|0.43134946|0.23174782|-0.13332236|-0.7597787
493;-0.3238592|0.49826187|0.5952837|0.6765618|0.12688813|0.63798344|-0.10871485|0.085861675|0.42189413|-0.53912944|0.29094437|0.4026565|-0.43917984|0.18304542|-0.043999434|-0.838338|0.45136338|0.2282513|0.35467649|0.58197474|-0.4289926|0.50894696|-0.37403882|0.6679615|-0.5494139|0.0939216|0.5372711|-0.31448442|0.12421653|0.16970628|-0.31804883|0.14952321|0.6611911|0.3696105|0.46466792|0.2309086|-0.26941442|-0.51485324|-0.09977412|0.31275782|0.3429279|-0.24334675|0.11230655|-0.21790136|-0.32729235|-0.15296453|0.7306531|-0.30475077|-0.35798973|-0.4587374|-0.72994685|0.29798752|-0.6755005|-0.14788976|-0.37746403|-0.011153966|-0.34584534|-0.31254864|-0.6575881|0.21800044|0.15063864|0.05518903|0.19415438|-0.56129146|0.72300816|0.78987336|0.59041524|0.60038686|0.75666034|0.24235404|-0.31931153|-0.409835|0.9607695|0.29641426|-0.47620386|0.74751616|-0.8187406|0.4181437|-0.46287838|0.044777483|0.5518563|-0.47826368|-0.08709215|-0.5095618|-0.5046078|0.7490331|-0.6237714|0.7187761|-0.1527701|0.020982996|-0.016786188|0.24780314|-0.004130617|-0.42551532|-0.032502264|-0.19029015|0.026243776|-0.40173894|0.40543094|-0.6261556
494;-0.77511406|0.2668111|0.42738608|-0.29499567|-0.17066519|0.3437481|-0.059458047|0.14748216|0.94691336|-0.66940534|0.5095742|0.7554307|-0.22775577|1.257204|-0.5094319|-0.2601109|0.15104096|0.089041695|-0.17017838|0.6020887|-0.5124316|0.33745164|-0.7967395|0.31711|-0.11181662|-0.18748617|0.62989473|0.1325023|-0.3031894|0.17923817|-0.20751515|-0.13415188|0.18304673|-0.36034295|0.28436172|0.36835697|0.3938402|-0.31809136|0.8208053|0.09469344|0.13533694|0.733325|0.2721249|0.35827756|-0.19649754|-0.6396954|0.49999744|-0.31618294|-0.10657206|-0.6719195|-0.3094624|0.68341035|0.2323785|-0.2178334|-0.25607416|0.21903464|-0.10551864|0.14212953|0.21649823|0.046726912|0.16479105|0.3482837|-0.45136353|-0.2594464|0.32648772|0.26663154|0.049383163|-0.03532359|0.7395921|-0.34884438|-0.31734505|-0.11747657|0.6160862|0.76115024|0.022564918|0.6745757|0.22737598|0.16147101|-0.8382508|0.2172396|0.21272859|-0.26307034|0.14351436|-0.8239945|0.05555311|0.33151114|0.329652|0.37632465|0.24627447|0.76604813|0.41156578|0.30293548|0.73261935|-0.58356667|-0.09100774|-0.029427737|0.39670765|-0.05291058|0.33195934|-0.68019956
495;-0.5891139|0.57524145|0.43798503|-0.3246808|0.1956856|0.5094658|-0.2756522|0.19367073|-0.081547976|0.0043969154|0.27602053|0.5886441|-0.6504331|1.3408821|0.13578616|-1.0057857|0.32372767|0.50585794|0.057975844|0.32546872|-0.70537233|0.55028766|-0.29196832|0.6037232|-0.001158217|0.38901114|0.52409166|0.19557922|-0.5527893|-0.40556765|-0.121081844|0.088134795|0.88739|0.778847|0.062180564|0.498281|0.1975469|-0.29971772|0.5316951|0.5613204|0.047036335|-0.21242249|0.5975824|0.066957586|-0.20140001|-0.2371501|0.31196043|-0.26951382|-0.40009|-0.08464822|-0.9065326|1.4771249|-0.5156568|-0.16951917|-1.3003078|0.4217248|-0.14238888|0.3162654|0.069709726|0.25586247|-0.24852121|-0.44151613|0.21628433|-0.13782619|0.53330183|0.2950703|-0.2082783|0.49646872|0.3780511|-0.010552138|0.07246402|0.20373681|-0.36164618|-0.046529174|-0.30164164|0.1271731|-0.8694843|0.41903105|-0.15131152|0.3927902|0.21796189|-0.10622111|-0.00384368|0.5643434|-0.23976934|0.0722191|-0.16760235|0.08147785|0.009639397|0.017091602|-0.5002343|0.46308|0.38418844|0.032164186|-0.18521838|0.4495968|0.18850249|0.049233615|-0.3391078|-0.40365678
496;-0.6761695|0.67118067|0.28069946|0.43667743|0.39638144|0.44782433|-0.54522204|0.106214516|0.5367934|-0.422679|0.550956|-0.10999364|-0.74296063|0.83980674|-0.5953553|-0.24144109|0.4426384|0.4730861|0.06684802|0.67768395|-0.4790652|-0.24619704|-0.4102419|0.28734022|-0.20543693|-0.322437|0.25315714|-0.3349564|-0.5341072|0.25332955|-0.5873695|0.286739|0.65559787|-0.169397|0.45189613|0.41736835|0.6089339|-0.6179369|0.4541105|-0.08982664|0.0693593|0.15810494|0.31508422|-0.07464818|-0.43025172|-0.19288248|0.7202326|0.011689034|-0.51540273|-0.91671336|-0.8522992|0.40084678|-0.5572012|0.010128193|-0.29189068|-0.03367403|-0.33813292|-0.26462555|-0.24599624|0.6402462|0.48597676|0.6482094|-0.32146257|-0.8396452|0.2654127|-0.26636472|0.08968061|0.45998055|0.47822106|0.38051575|-0.86945736|0.19402336|0.23476997|0.5989417|-0.5475582|0.50337887|-0.49292874|0.21426232|-0.72870076|-0.22033411|-0.043317497|-0.29853702|0.3340872|0.12703931|-0.6434531|0.51217175|-0.18795867|0.81198525|0.5278399|0.3458688|0.14233917|0.5283658|-0.10000989|-0.6129635|-0.18693903|0.5063667|0.25279963|-0.22684889|0.6348914|0.18428361
497;-0.28653207|0.6264193|0.9464915|0.3770392|-0.37950236|0.63541746|-0.8990162|0.45963073|0.31845146|-0.4811622|0.33563074|0.77924544|-0.69033015|0.8968093|-0.06848976|-0.6267061|0.35065797|0.34220606|0.13479413|0.66052336|-0.47240484|0.41840893|-0.2569204|0.42766672|-0.07364329|-0.18191743|0.6063456|-0.20343605|-0.7221494|0.55153394|-0.2528202|-0.08603626|1.1109405|0.23896389|0.12921792|0.9563166|0.09015615|-0.9382135|-0.13352692|0.8323319|-0.38862404|-0.2642669|0.17060047|-0.52605027|-0.119152404|-0.21192203|0.9216106|0.12579761|-0.436237|-0.4323516|-0.8505266|0.46703237|-0.5694731|-0.2565063|-0.6896664|0.47900277|0.2965715|-0.01140897|-0.098385416|0.612873|-0.35693842|0.22901969|0.70793205|-0.27826485|0.57769465|0.71339226|0.6738386|0.4662811|0.16598901|0.6116741|-0.67124116|0.014543511|0.048270166|0.248406|-0.58429646|0.8600153|-1.1854286|0.8316246|-0.10515401|-0.42685106|-0.5641395|-0.079089746|0.06311828|-0.17205022|-0.7575408|0.7300439|-0.78536314|0.4705375|0.06387372|0.34011006|-0.3755175|0.41808805|0.27850592|-0.6837776|-0.09326391|-0.24517232|0.40086645|-0.2647196|0.64263105|-0.94231945
498;-0.46839458|0.5333638|0.6204645|0.23773777|0.60828|0.58288777|-0.36677563|-0.14200471|0.25072524|0.07540172|-0.054329723|0.46805876|-0.38772547|0.56273276|-0.7032348|-0.24847792|0.15695384|0.20994243|0.12605663|0.9018104|-0.420253|0.3080407|-0.43405476|0.47683117|-0.20098051|0.09544405|0.21820925|-0.098791406|-0.33840674|-0.30195403|0.08821119|0.059597015|0.41931745|-0.23859236|0.4804083|-0.102629274|0.25083214|-0.51267534|0.059805214|0.24937154|0.16988799|0.24631038|0.70023644|-0.19349831|-0.7145996|-0.042784303|0.8903519|-0.52608|-0.32849059|-0.6421737|-0.36602938|0.14582306|-0.4655108|-0.45044336|-0.6320761|-0.10418746|0.05300477|0.022412926|0.08448563|0.5265625|0.15690105|0.82634556|-0.49809125|-0.42652336|0.34439448|0.47212017|0.73599184|0.27325162|0.59347343|0.36391288|-0.3193643|-0.32601774|0.11554733|0.42611703|-0.07854132|0.2737832|-0.7768301|0.84855926|-1.1371455|0.42758784|-0.046337694|-0.4314103|0.66237783|-0.4183864|-0.0063649714|0.32070175|0.14208995|0.25378606|0.5302414|0.4570526|0.4654169|0.8862069|0.4774035|-0.5598702|-0.23991138|-0.44051304|-0.14961438|-0.45843637|-0.09517628|-0.48494035
499;0.1702717|0.41385326|0.44046178|0.24273045|0.49777925|0.53294766|-0.20978159|0.4615606|0.20992124|-0.69049203|0.23381642|0.40300608|-0.6449231|0.6120545|0.010901287|-0.7588126|0.4120837|0.5181219|0.10870263|0.12397945|0.25569373|0.20506375|-0.6118699|0.17874417|-0.32089493|-0.44487086|0.1415951|-0.013590872|-0.43135774|0.31102797|-0.34290367|0.7045537|0.3451772|0.5517875|0.25909546|0.6927655|-0.037619174|-0.9526348|0.05103576|0.49167186|-0.23206258|-0.28328577|0.2893361|-0.3552181|0.042494133|-0.17325601|0.6287076|0.60609365|0.007857263|-0.013625145|-0.769253|0.7771735|0.006922528|-0.0045705773|-0.1301508|0.11797501|-0.21229437|-0.08234422|-0.28889072|0.687653|-0.10139112|0.45135808|-0.4897541|-0.41490874|0.06622109|0.53125083|0.23212217|0.060362965|0.4481146|0.3200803|-0.4977507|0.15699764|0.07922804|1.0760167|-0.008137435|0.77168936|-0.7909263|-0.051979125|-0.92697346|-0.27708006|0.546774|-0.62715304|0.011791915|-0.79745907|-0.33260235|0.08566198|-0.05799775|0.7569107|0.24558955|-0.44337726|-0.27147973|0.03739372|-0.019557744|-0.24385446|-0.020859733|-0.13476919|0.61223406|-0.122588605|0.46463755|-0.6948841
500;0.059683442|0.26255748|0.047266394|-0.007425517|-0.046773635|0.3283543|0.13049105|0.11657969|0.6758889|-0.10797033|0.4263059|0.33115217|-0.014370233|0.86509895|-0.25517157|-0.75937665|-0.08648288|0.20669179|0.26969874|0.6751593|-0.6747399|0.077889144|-0.41304174|-0.22894844|0.022185441|-0.409032|0.33126965|-0.13757122|-0.038758606|0.77390957|-0.15851417|-0.21811481|0.7505197|0.2952135|0.28993136|0.62863266|0.105985336|-0.4383772|0.44116667|0.9888898|0.30993217|-0.3391405|0.18853755|0.18904765|-0.7347113|-0.4409744|0.27224612|0.12506932|-0.012937278|-0.83128476|-0.079829454|0.45847052|-0.03672394|0.26399457|0.37083188|0.20761795|-0.81216896|0.28606123|-0.20251784|0.2761611|0.17255579|0.37538004|-0.6022384|-0.20132616|0.37236586|0.05792965|0.6057583|-0.10702792|0.33798325|-0.1547147|-0.39740282|0.4993272|0.53614235|0.48354167|-0.16518974|0.55615234|-0.79095|0.3924692|0.14397329|0.21997117|0.56936824|-0.3032763|0.35535902|0.13859385|-0.0027413666|0.5261386|0.257919|0.5776042|0.5545459|0.62409264|-0.10859339|-0.029573798|0.047949374|-0.5509696|-0.6648785|-0.23482752|0.27581316|-0.04862237|0.6248009|-0.087433845
501;-0.7492039|-0.18479669|0.5969466|0.46074173|-0.18019326|0.61718094|-0.5380317|0.046190932|0.7432871|-0.60334814|0.5698769|0.51658195|-0.22644627|0.40297675|-0.4858277|-0.2835297|0.41638744|0.022568986|0.21077812|0.47719732|-0.46211904|0.32647824|-0.3233872|-0.08827853|0.23322809|-0.12446199|0.5316744|-0.24707946|-0.14902103|0.044480205|0.27102184|-0.062757894|0.6820219|0.13081683|0.37102672|0.5338958|0.108427435|-0.8845266|0.5497887|0.6362965|0.008137114|0.45169744|0.38808656|0.46468878|-0.6710917|-0.51552474|0.40664735|-0.26736626|-0.46062362|-0.6160455|-0.52649814|0.90364504|-0.12788603|0.24274069|-0.35301334|0.025320575|0.016129464|-0.12167531|-0.6224722|0.4694459|0.035560176|-0.17948571|0.038012877|-0.23223|0.8226259|0.3742035|0.0699648|0.017894387|0.5574004|-0.07385051|-0.13021702|0.73712564|0.73729527|0.14628766|-0.40057653|0.695436|-0.52142787|0.4680223|-0.66357666|0.29256597|0.41963667|-0.22604375|0.24388206|0.18958509|-0.15169789|0.23152035|-0.110236116|-0.29553202|0.67959106|0.0684672|0.43200272|-0.14179721|0.44540322|0.016700834|-0.25767553|0.11128998|0.6571586|0.151293|0.089999124|-0.6135588
502;-0.40160036|0.29786006|0.72199595|1.1058433|-0.6153702|0.5567476|0.061491847|0.6179451|0.49066013|-0.7816098|0.38803476|0.5477444|-0.49725115|0.73065245|-0.102010846|-0.1878533|0.26959726|0.094275065|0.13885348|0.62858427|-0.58632|0.40050235|-0.725582|0.2763584|-0.06420137|0.024724662|0.4510634|-0.028943181|0.2671475|-0.10810083|-0.19898845|-0.23983078|0.61127955|0.08486819|0.3971876|0.63655293|0.045274593|-0.63203716|0.09980072|0.3132391|0.29309148|0.0009712428|0.21126716|-0.00022007152|-0.220379|-0.36066604|0.13757327|-0.23173408|-0.131104|-0.88382953|-0.52294385|0.685043|0.07111688|-0.21853048|-0.49107885|0.7164396|-0.3682825|-0.470949|0.020402074|0.115832835|-0.38908213|0.2329715|-0.15280001|-0.20172247|0.91325784|0.3804039|0.79698527|0.19348796|0.5472102|0.5528351|-0.48813817|-0.09701002|-0.12137544|0.06855965|-0.4586664|0.5765841|-0.64276606|0.5577461|-0.1947312|0.37978226|0.16714174|-0.48249233|-0.29160875|-0.20701823|-0.6820998|0.4433388|-0.13560122|0.2768175|0.4641807|0.584377|0.41952646|0.4031309|0.19598754|-0.29558098|-0.44907033|-0.6332787|-0.013437927|0.30720735|0.32871738|-0.60806787
503;-0.26125437|0.40712252|0.61684924|-0.06566414|-0.17448182|0.22974767|-0.48850352|0.052337825|-0.006538421|-0.3252635|-0.17362997|0.42893913|-0.7429373|0.59159863|-0.3997031|0.15430182|0.04685667|0.90891254|0.52536964|0.27148744|-0.16475289|0.7277937|-0.49986547|0.6596688|0.02096872|-0.06772268|0.47186556|-0.095376976|-0.04759559|-0.2253482|-0.70921654|0.07764691|0.49893534|0.36303806|-0.08184731|0.4846974|-0.45323056|-0.68025976|0.2855943|0.35600424|0.07310457|-0.17310122|0.4908825|0.17738807|-0.2801519|-0.42555267|0.22434409|0.315461|0.20240277|-0.5774888|-0.70690036|0.94808173|-0.32834107|0.4303688|-0.6084703|0.20970997|-0.2226412|0.37537444|0.4140214|1.0590475|0.030720614|0.49377394|-0.5618427|-0.27576908|0.003354162|0.20203894|0.036485076|0.4740488|0.503413|0.29858276|0.18471766|0.14148636|0.19595706|0.32161778|-0.24760139|0.42596567|-0.7424135|0.069472104|-0.3430074|0.23055293|0.5247133|-0.48299676|0.407633|-0.21250078|-0.30451483|0.6058962|-0.06730701|0.3403557|0.48696256|0.07010357|-0.42400807|0.19781199|0.5588089|-1.248514|-0.35010815|0.1733889|0.42216927|0.20161764|-0.0969435|-0.74359477
504;-0.41088545|0.43190682|0.45669654|0.34374523|0.09391077|0.4102048|0.08298096|0.19239731|0.0039467514|-0.23106563|0.23157409|0.8243437|-0.5143388|0.7325648|-0.58511746|0.011904687|0.5865245|-0.049488366|0.04530756|0.5117467|-0.02953595|0.2028695|-0.5623393|0.12984242|-0.16847844|0.20087788|0.10266191|-0.5672807|0.08499077|-0.3866973|-0.3087067|0.050381385|0.31218475|-0.04297477|0.6540662|0.64069945|0.38586032|-0.5294547|-0.03194633|0.5129744|0.21626791|-0.16483033|0.30549806|0.16565375|-0.3464853|-0.52151465|0.7479527|-0.099370435|-0.29180002|-0.24341924|-0.2631364|0.32852137|-0.29478067|-0.009685766|-0.5224745|0.18496755|-0.49742904|0.1948788|0.06605959|0.56600744|0.15889457|0.23563775|0.038518324|-0.8762768|0.104969054|-0.07035014|0.018577486|0.7176196|0.73609626|0.14408602|-0.4787159|0.5160095|0.049687237|0.35940287|-0.21872652|0.8269572|-0.6294389|0.687262|-0.15735066|0.10481436|0.38489854|-0.20258662|0.5226748|0.41585392|0.005264163|0.5665747|0.20885326|0.27832428|-0.011865824|0.16230488|0.43110967|0.1722168|-0.295244|-0.6258378|-0.48972145|-0.19787203|0.02042088|-0.3583622|0.40977037|-0.7218765
505;-0.4332582|0.38758415|0.6340889|0.5076677|-0.30236882|0.73808205|0.10170391|0.06263588|0.3328143|-0.8533586|0.40155798|0.16187568|-0.24373493|0.41144276|0.02221091|-0.30799025|0.24203223|0.6388713|0.052249603|0.03401196|0.24130672|0.023824215|-0.48219523|0.22680748|0.13044979|-0.018398494|0.48163462|-0.24509276|-0.05738923|-0.102926075|-0.23281464|-0.02975374|0.2513265|0.50879335|0.26659957|0.6037948|0.112916544|-0.99905604|0.32272252|0.3593837|0.40613484|0.44154394|0.6783477|-0.25006366|-0.044239923|0.018726617|0.74043703|-0.27080768|-0.1811202|-0.33843976|-0.30168006|0.5357573|-0.8285839|-0.17667668|-0.22184943|0.23237477|0.110764325|-0.48519164|-0.17109282|0.35997877|0.012028257|0.42343205|0.23854622|-0.60497695|0.19938599|-0.2761278|0.47335184|0.031033471|-0.045323133|0.20823172|0.15036297|0.5236669|0.63277704|0.81220526|-0.22350308|0.4283433|-0.8536728|0.6014839|-0.14260626|0.37385055|0.26086426|-0.5253344|0.11882917|-0.11150343|-0.58140194|-0.074094474|-0.25514382|-0.0039744973|-0.33128265|0.44283694|-0.079845235|0.3658627|0.33953077|-0.022029042|-0.13530356|-0.3364041|0.42543918|0.0003902316|0.116641745|-0.4778789
506;-0.1620936|0.9017532|0.5690846|1.122107|0.13383883|0.02146241|0.14159673|0.29776493|0.3433985|-0.5998186|0.13297532|0.32451513|-0.7633456|0.41447204|-0.42268986|-0.28119007|-0.04349774|0.5124463|-0.06744836|0.85131025|-0.5184543|0.86857116|-0.45138586|0.35303286|0.4325817|-0.37851176|0.57661617|-0.38061124|-0.08138542|-0.020555645|-0.19058137|-0.15735354|0.15326315|1.1605946|0.0014537871|0.39041123|-0.19257204|0.035860658|-0.030819923|0.3990552|0.48500293|0.36811656|0.11145602|-0.30760032|-0.2805224|-0.4346375|0.9587461|-0.21835811|-0.0010501742|-0.02408722|-1.1206665|0.31589076|-0.23208654|-0.517578|-0.09715611|0.7998519|-0.499771|-0.31833005|0.13203615|0.8063123|-0.15232272|-0.09105876|-0.08766171|0.009226352|0.039168745|0.5039064|0.9943624|0.3716082|0.57486033|0.3233544|0.20763227|0.2648198|0.92478466|0.33908576|0.02450797|-0.10594529|-0.12435591|0.4985525|-0.43506527|0.04802634|0.19913545|-0.36915883|0.40868014|-0.080231376|-1.0293943|0.69071484|0.07249464|0.17034024|0.39962175|0.58406496|0.41904336|0.38652787|0.4016015|-0.13515869|0.15477064|-0.29174244|0.39858872|-0.79155934|-0.28465998|-0.4993216
507;-0.46970192|0.445325|-0.10857931|0.6345344|-0.34399846|0.45406926|0.40112352|0.14622226|0.103539675|-0.83294046|0.5228414|0.15423587|0.21986625|0.3583826|-0.13654053|-0.22641855|0.004971981|-0.20179942|0.832289|0.37887156|-0.8081453|0.07318303|-0.66967684|-0.07766554|0.4276822|-0.3688208|0.2361203|0.23811696|-0.038572684|0.4399789|-0.5922188|-0.25936818|0.50438064|-0.1547521|0.16800258|0.7628964|0.10704718|-0.6436104|0.43948045|-0.01923436|0.12732156|-0.13084334|0.49776185|0.060965456|-0.15088394|-0.38719827|0.1428282|-0.26246426|0.19210923|-0.817657|-0.61157966|0.19070643|-0.116588846|0.14972995|-0.6961572|0.0795674|-0.124174416|-0.48278457|0.170286|0.3504077|0.30119088|0.061460033|0.33775178|-0.68247986|0.24507612|0.28333178|1.0479685|-0.19594857|0.055253237|-0.027541071|-0.32642016|-0.07885732|0.23025183|0.45027488|-0.59025097|0.6103394|-1.1080375|-0.04540348|-0.6943835|-0.24398544|0.1702986|-0.93557715|-0.21339457|0.1048601|-0.92599565|0.071508795|-0.20373209|0.6889863|0.55630654|0.54521775|1.2567408|-0.42587018|0.993984|-0.808926|-0.2764784|0.23222575|0.6302271|0.13099606|0.20085652|-0.077911586
508;-0.49008322|0.45757392|0.78082657|0.55025655|0.0033700056|-0.1341775|-0.3794794|-0.05827236|0.41131845|-1.1052904|0.6937578|0.9572847|-0.0039620996|0.26186368|0.1222433|-0.909029|-0.19491398|0.67129135|0.31368524|0.3533857|-0.687977|0.42305198|-0.1711109|0.6832261|-0.5708532|-0.12341988|0.10453081|0.036352232|-0.09257612|0.5871057|0.26936573|0.17343867|0.41092235|0.1836259|0.27882248|0.08177358|-0.21771367|-0.43754244|0.61131763|0.46846765|-0.32857454|-0.3430466|0.6446943|-0.16080001|-0.19830915|-0.3777774|0.6985234|0.19140168|-0.13811828|-0.35655516|-0.83155644|0.54123497|-0.5961748|0.016956601|0.38271943|-0.09161666|-0.7082659|-0.59978867|0.23188663|0.20497154|-0.2326057|0.52507734|0.122544736|-0.577297|0.43946585|0.2395183|0.43672144|0.8251289|0.7133757|0.35880545|-0.24846636|0.6418136|0.017390192|0.09506115|-0.11742213|0.77864933|-0.6421287|0.76688033|-0.31740528|0.4323528|0.49224645|-0.41522402|0.69451946|0.19286463|-0.36499196|0.4191947|-0.36285365|0.19944966|0.24629739|0.22154476|0.045774966|0.2065025|0.57943743|0.0056681335|-0.25761682|-0.08682735|0.77992064|-0.2969926|0.9054055|-0.38321367
509;0.14023954|0.99745613|0.2648816|0.73248553|0.21324599|0.2614799|0.18008634|0.19834751|-0.11814043|-0.637511|0.026430607|0.033125818|-0.37915504|0.29665625|-0.10865711|-0.07468912|0.50469685|-0.074763|0.18350196|0.5891374|0.027885765|0.2942144|-0.15710881|-0.0034915805|0.35924277|0.37448364|0.72534364|-0.45437932|-0.2091218|-0.21125782|-0.51146936|0.36693507|0.97545326|0.6948604|0.23090462|0.6818554|-0.090593785|-0.8468563|0.48684382|0.31917816|0.31001836|-0.20463744|0.048423886|0.14112355|-0.6695858|-0.5377995|0.3251812|-0.19960745|-0.21408711|-1.1616747|-0.599208|0.49660057|-0.25489387|-0.1001563|-0.55037653|0.5029871|0.14476159|0.42792022|0.11396185|0.8581134|0.0031392314|0.557571|0.10813996|-0.25170237|0.19803172|0.06693891|0.53409886|0.044254318|0.37101218|0.81313825|-0.38270116|0.05566621|0.37348035|0.11751032|-0.31442577|-0.073037714|-0.6805431|0.20567682|-0.23747249|-0.5937611|-0.427345|-0.12250281|0.30261672|-0.07332969|-0.20764044|0.15647054|0.3573358|0.049071968|0.40142602|0.2599594|0.5073886|0.6281971|0.6681347|-0.7536124|0.052066058|-0.47098255|0.31404632|0.5199784|-0.2702315|-0.7235369
510;-0.9330814|0.47888833|0.25806373|0.055109918|-0.40279785|0.7219429|0.040818736|-0.14447112|0.88827884|-0.3276577|0.45016247|0.37775826|-0.4789012|0.063665986|0.4780978|-0.8812102|0.12177454|0.33607817|0.5348873|0.9418254|-0.5032386|0.7356969|-0.6417858|0.48494714|0.1271052|-0.82511836|0.4687856|-0.06656469|-0.23861429|0.6186398|-0.40422845|0.03223424|0.064885646|-0.22780785|0.2069384|0.32505926|-0.13418442|-0.7697569|0.570223|-0.36666998|0.13452107|0.24838424|-0.0012601018|-0.32839507|0.18075775|-0.15624654|0.8497007|0.18745258|-0.7062932|-0.27605546|-0.6859384|0.43803757|-0.026453614|-0.5785667|-0.13257793|-0.31375366|-0.41611367|-0.6328588|-0.21129173|0.7116319|-0.3076367|0.02659595|-0.17675754|-0.21258177|0.6910768|0.23471344|0.3317701|-0.07823637|0.35915262|0.6398399|0.042180628|-0.32816216|0.78838897|-0.10754821|-0.38133264|0.19704059|-0.79705715|1.0198901|-0.695276|0.46857315|0.30895334|-0.19585565|0.46852863|-1.0041382|-0.763483|0.38907805|-0.29707924|0.4431271|-0.09635806|0.47598046|0.20146973|0.480154|0.38693684|-0.18185219|0.19529644|-0.19798318|0.45410383|-0.51657605|0.42730057|-0.66752446
511;-0.671766|0.64318347|0.9555898|0.45258808|-0.03554371|0.64646673|-0.17840874|0.07078105|0.3759282|-0.7156974|-0.14325011|0.17782648|-0.0572924|0.79284346|0.11979462|-0.24545313|0.33276|0.23937279|0.4690542|0.3069033|-0.38224083|0.46363944|-0.6744801|0.039285988|-0.21070237|-0.17028385|0.2802788|-0.25322342|-0.457405|-0.015991226|-0.6395285|-0.47703606|0.47060892|0.019981742|0.23037763|0.5052937|-0.018220633|-0.97897965|-0.4285983|0.4709092|0.10549281|0.044017732|0.23855415|-0.09709218|-0.21426843|-0.019865513|-0.085724115|0.5759889|0.046604693|-0.11290771|-0.69890463|0.42465615|0.047133192|-0.040529784|-0.35753354|0.4294089|-0.045835435|0.11698167|0.19687608|0.2018816|-0.096296296|0.07114126|-0.051738|0.13996372|0.05291733|0.7507962|0.86662567|0.4913766|0.18089217|-0.08412966|-0.23832929|-0.4340267|-0.110150725|0.42272657|-0.39915818|0.1603961|-1.1409951|0.6015758|-0.5470292|0.29901552|0.118213|-0.20961367|-0.14876287|0.22278988|-0.43936476|0.73164403|-0.17726088|0.5462258|0.21461497|0.20291263|0.28883153|0.400288|-0.018497556|-0.49415714|-0.5672349|-0.13968945|0.017252639|0.31655908|0.334731|-0.91324794
512;-0.07232219|0.4921992|0.17777523|0.55106944|-0.18082573|0.88794214|0.19312406|-0.19027518|0.021668345|-0.72031116|0.43695986|0.57131153|-0.1082951|0.78545105|-0.16869164|-0.41142556|0.66197014|0.1264984|0.007524818|0.41826725|-0.122840345|0.27426577|0.14641076|0.08772038|-0.06892401|-0.40295082|0.39218912|0.0969242|-0.07946415|0.46599343|-0.33146226|0.9132812|0.69171417|0.36348775|0.031483516|-0.13929346|0.17967616|-0.790398|0.66867584|0.41620094|0.020773724|0.0021850467|0.80307066|0.16657816|0.3024134|-0.24497357|-0.13812578|-0.74657166|-0.4970748|-0.39362392|-0.6669251|0.2441108|-0.9789471|-0.041919533|-0.19066153|0.21281005|0.12117323|-0.22862414|0.5387779|0.018891305|0.08641708|0.54260385|-0.2621098|-0.025445923|-0.08160135|0.121711686|-0.20201373|0.40309724|0.8728932|-0.061015546|0.080161065|-0.40755773|0.0659191|0.42903802|-0.6802789|0.20706853|-0.7978022|0.7209822|-1.0103077|-0.090451315|0.32330602|-0.6636553|0.08803914|-0.637693|-0.048600644|0.042870402|-0.2942175|0.6333964|0.20377219|-0.1758867|0.022815764|0.54598784|0.5200599|0.032979548|-0.19505036|-0.6107348|0.07911435|0.012027934|0.43961|-0.69618446
